9000239,20220930,1,2355,ST-2996,신사동_020_1,ST-702,신림동_029_1,1,3,695.45
9000240,20220930,1,2355,ST-1381,면목본동_009_1,ST-1334,상봉2동_034_1,1,37,2900.0
9000241,20220930,1,2355,ST-438,청파동_039_1,ST-1343,원효로2동_027_1,3,53,6129.98
9000242,20220930,1,2355,ST-563,길음1동_075_2,ST-565,종암동_048_1,1,6,1574.03
9000243,20220930,1,2355,ST-825,성북동_015_2,ST-2226,삼선동_002_2,2,15,1923.2
9000244,20220930,1,2355,ST-1072,가락2동_010_1,ST-838,가락본동_025_2,1,11,1370.0
9000245,20220930,1,2355,ST-2038,등촌3동_053_2,ST-1251,가양1동_037_1,1,4,778.56
9000246,20220930,1,2355,ST-693,흑석동_059_2,ST-2352,흑석동_059_1,1,4,350.47
9000247,20220930,1,2355,ST-493,천호2동_058_1,ST-487,천호2동_056_2,1,6,920.0
9000248,20220930,1,2355,ST-2408,군자동_035_5,ST-1194,군자동_019_1,1,65,2146.2
9000249,20220930,1,2355,ST-1263,군자동_038_1,ST-2542,화양동_039_1,1,8,1440.87
9000250,20220930,1,2355,ST-243,용답동_003_1,ST-2268,장안1동_010_1,1,16,1497.32
9000251,20220930,1,2355,ST-22,신수동_026_1,ST-691,상도1동_049_1,2,130,13784.25
9000252,20220930,1,2355,ST-739,잠실6동_031_4,ST-1848,성내1동_026_1,1,19,2240.0
9000253,20220930,1,2355,ST-3142,영등포본동_015_4,ST-1972,당산2동_003_2,1,28,2792.24
9000254,20220930,1,2355,ST-2909,강일동_044_2,ST-2909,강일동_044_2,1,1,88.15
9000255,20220930,1,2355,ST-2086,상계6·7동_044_1,ST-1672,상계9동_042_1,1,15,1889.12
9000256,20220930,1,2355,ST-2487,등촌1동_024_1,ST-834,등촌3동_053_3,1,27,4380.0
9000257,20220930,1,2355,ST-2480,우장산동_062_1,ST-1689,가양1동_039_3,1,28,3746.41
9000258,20220930,1,2355,ST-2905,망원1동_041_1,ST-683,노량진1동_001_3,2,225,32850.0
9000259,20220930,1,2355,ST-460,응암3동_017_1,ST-347,북가좌2동_046_1,1,8,1385.53
9000260,20220930,1,2355,ST-1277,가산동_003_3,ST-635,독산3동_037_1,1,11,1500.0
9000261,20220930,1,2355,ST-1259,신림동_019_1,ST-1548,은천동_065_1,1,8,1160.0
9000262,20220930,1,2355,ST-1270,신림동_030_1,ST-1270,신림동_030_1,1,6,318.42
9000263,20220930,1,2355,ST-2748,성내2동_026_1,ST-502,성내1동_007_1,1,8,1020.48
9000264,20220930,1,2355,ST-331,용산2가동_011_3,ST-3102,신길1동_006_1,1,54,7937.14
9000265,20220930,1,2355,ST-419,당산1동_040_1,ST-413,당산1동_002_1,1,4,400.0
9000266,20220930,1,2355,ST-424,여의동_005_7,ST-47,여의동_001_4,1,5,755.35
