,보관소(대여소)명,자치구,위도,경도,public_place_in_100m,public_transport_in_100m,total_schools_in_100m,population_per_station,area_per_station,거치대 개수
270, 효창공원앞역 5번출구 옆,용산구,37.53851318,126.9635544,0,2,0,491,124.43,7
271, 한강초교보도육교 앞,용산구,37.52544022,126.9645996,0,1,1,0,249.22,8
272, 용산 푸르지오 파크타운 1단지 앞,용산구,37.52529526,126.9958344,0,1,0,192,158.17,6
273, 센트럴파크타워 앞,용산구,37.52703476,126.9661789,1,1,0,2743,0,8
274, 이태원역 3번 출구,용산구,37.53440094,126.9946671,1,4,0,8,217.01,5
275, 용산구꿈나무종합타운 앞,용산구,37.53786087,126.9656525,0,2,0,71,208.28,8
276, 용산시티파크 101동 앞,용산구,37.52468109,126.9681931,0,1,1,42,194.93,10
277, 청파동삼거리 앞,용산구,37.54733658,126.9703827,0,0,0,0,59.78,10
278, 동빙고근린공원,용산구,37.51794052,126.9837036,1,0,0,0,0,10
279, 원효로2가 교차로,용산구,37.53577805,126.9622116,0,2,0,98,193.86,8
280, 아메리칸센터,용산구,37.54039001,126.9734955,0,0,0,0,451.48,10
281, 용산더프라임아파트 101동 앞,용산구,37.53930283,126.9705048,0,1,0,0,0,10
282, 응봉역 1번출구,성동구,37.55125046,127.0351028,1,3,1,15,180.24,10
283, 상왕십리역 1번출구,성동구,37.56460953,127.0291977,0,5,0,208,262.02,15
284, 왕십리교회옆,성동구,37.56626129,127.0236969,0,2,0,388,178.22,10
285, 서울숲 관리사무소,성동구,37.54281616,127.0420837,0,3,0,0,0,20
286, 금호스포츠센터앞,성동구,37.54608917,127.0250702,0,3,0,0,15.61,15
287, 왕십리 자이아파트,성동구,37.56179047,127.0243912,1,5,0,0,0,5
288, 왕십리자이아파트 후문(삼거리),성동구,37.56014633,127.0263596,0,3,0,301,0,10
289, 논골사거리(금호도서관 입구),성동구,37.55477905,127.0248413,1,7,0,459,179.98,10
290, 왕십리KCC스위첸아파트,성동구,37.56068039,127.0267792,0,2,0,310,133.71,9
291, 서울숲 IT캐슬,성동구,37.55089188,127.0447617,0,1,0,0,215.55,9
292, 금호 어울림 아파트 앞,성동구,37.54906082,127.0577927,1,1,0,169,141.15,7
293, 성수아카데미타워 앞,성동구,37.54516602,127.0575104,0,1,0,82,271.38,10
294, 이마트 버스정류소 옆,성동구,37.53965378,127.0525894,1,4,0,0,0,25
295, 서울숲 남문 버스정류소 옆,성동구,37.54122162,127.0438004,0,2,0,0,0,15
296, 서울숲역 5번 출구 옆,성동구,37.54458237,127.0446091,1,3,0,0,0,16
297, 뚝섬역 1번 출구 옆,성동구,37.5485611,127.0450058,0,0,0,159,192.36,15
298, 뚝섬역 5번 출구 정류소 옆,성동구,37.54630661,127.0498047,0,4,0,43,97.775,13
299, 성수사거리 버스정류장 앞,성동구,37.54257965,127.0633087,0,4,0,0,311.6,12
300, 청계천 박물관 앞,성동구,37.57152557,127.0353546,1,1,0,0,81.81,20
301, 양지사거리,성동구,37.56699371,127.0299149,0,2,0,389,0,20
302, 상왕십리역 4번 출구 앞,성동구,37.56385803,127.0303192,1,1,0,59,184.47,8
303, 왕십리역 11번 출구 앞,성동구,37.56144714,127.0349197,1,1,0,169,356.43,14
304, 금호역 1번출구 앞,성동구,37.5486412,127.0164261,0,10,0,149,249.19,9
305, 옥수동성당 옆,성동구,37.54366302,127.014061,0,7,0,202,177.01,7
306, 래미안금호하이리버 아파트 102동 옆,성동구,37.55220032,127.0250549,0,6,0,179,0,10
307, 한양대병원사거리,성동구,37.55805206,127.0403519,0,4,0,0,0,20
308, 용답토속공원 앞,성동구,37.56351089,127.0567246,0,1,0,0,4.42,10
