,기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리,전 체건수
8000374,20220627,2005,ST-1546,ST-1996,,34,7599,1.0
8000375,20220627,1330,ST-312,ST-1996,,20,1610,1.0
8000376,20220627,1625,ST-2761,ST-1996,,4,846,1.0
8000377,20220627,2105,ST-2761,ST-1996,,5,830,1.0
8000378,20220627,1940,ST-312,ST-997,,12,1550,1.0
8000379,20220627,2225,ST-1018,ST-997,,4,596,1.0
8000380,20220627,1730,ST-1017,ST-997,,8,1424,1.0
8000381,20220627,2320,ST-2844,ST-997,,10,1466,1.0
8000382,20220627,1835,ST-2002,ST-997,,10,1820,1.0
8000383,20220627,2300,ST-2770,ST-2770,,95,9870,2.0
8000384,20220627,1630,ST-1010,ST-2770,,14,2317,1.0
8000385,20220627,45,ST-313,ST-2770,,6,1047,1.0
8000386,20220627,2005,ST-313,ST-2770,,6,1010,1.0
8000387,20220627,1815,ST-321,ST-2770,,12,1840,1.0
8000388,20220627,2050,ST-2016,ST-2770,,40,4744,1.0
8000389,20220627,2205,ST-1002,ST-2770,,26,4200,1.0
8000390,20220627,205,ST-536,ST-2770,,8,1480,1.0
8000391,20220627,1905,ST-1015,ST-1996,,18,2810,1.0
8000392,20220627,820,ST-3089,ST-1996,,12,479,1.0
8000393,20220627,800,ST-1499,ST-1996,,9,1530,1.0
8000394,20220627,2330,ST-1496,ST-997,,7,1079,1.0
8000395,20220627,725,ST-2760,ST-997,,7,2120,1.0
8000396,20220627,845,ST-1694,ST-2003,,15,2240,1.0
8000397,20220627,1850,ST-1694,ST-2003,,13,3140,1.0
8000398,20220627,2020,ST-2887,ST-2003,,14,2244,1.0
8000399,20220627,2125,ST-1350,ST-2770,,32,5550,1.0
8000400,20220627,2105,ST-428,ST-2770,,16,2580,1.0
8000401,20220627,2105,ST-2395,ST-2770,,15,2340,1.0
8000402,20220627,2310,ST-1010,ST-1003,,2,0,1.0
8000403,20220627,2230,ST-2857,ST-1003,,29,4067,1.0
8000404,20220627,2150,ST-2419,ST-1003,,21,1824,1.0
8000405,20220627,1750,ST-2398,ST-1996,,14,1448,1.0
8000406,20220627,545,ST-2395,ST-1996,,7,998,1.0
8000407,20220627,2010,ST-2395,ST-1996,,8,1231,1.0
8000408,20220627,2220,ST-431,ST-309,,27,2090,1.0
8000409,20220627,1950,ST-2001,ST-309,,3,590,1.0
8000410,20220627,2245,ST-2001,ST-309,,4,560,1.0
8000411,20220627,2240,ST-309,ST-309,,19,1790,1.0
8000412,20220627,830,ST-1996,ST-309,,8,1310,1.0
8000413,20220627,1950,ST-1002,ST-309,,13,1368,1.0
8000414,20220627,1710,ST-1003,ST-321,,6,954,1.0
8000415,20220627,2225,ST-2028,ST-321,,9,1560,1.0
8000416,20220627,840,ST-1694,ST-321,,11,1607,1.0
8000417,20220627,305,ST-834,ST-321,,21,3746,1.0
8000418,20220627,2125,ST-2992,ST-1003,,9,1148,1.0
8000419,20220627,1810,ST-2011,ST-1996,,12,1975,2.0
8000420,20220627,930,ST-530,ST-309,,9,1620,1.0
8000421,20220627,730,ST-312,ST-309,,8,1065,1.0
8000422,20220627,2145,ST-2960,ST-309,,17,1732,1.0
8000423,20220627,2010,ST-2396,ST-309,,15,2350,1.0
8000424,20220627,535,ST-2767,ST-2767,,0,0,1.0
8000425,20220627,1745,ST-1400,ST-2767,,21,3791,1.0
8000426,20220627,430,ST-524,ST-2767,,12,2003,1.0
8000427,20220627,2230,ST-835,ST-2767,,61,7573,2.0
8000428,20220627,2150,ST-535,ST-2767,,8,1510,1.0
8000429,20220627,2025,ST-534,ST-2767,,27,3780,1.0
8000430,20220627,2035,ST-538,ST-2767,,13,2490,1.0
8000431,20220627,2355,ST-2771,ST-2015,,13,1709,1.0
8000432,20220627,1700,ST-2764,ST-2771,,17,2720,1.0
8000433,20220627,855,ST-2764,ST-1996,,5,629,1.0
8000434,20220627,810,ST-1014,ST-1996,,17,3345,1.0
8000435,20220627,1620,ST-579,ST-579,,0,111,2.0
